"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","0","W00","World","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","106758120","false","-1","N/A",,"false","106758120","false",,"false","41522623",,"41522623","0","true","false",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","364","IRN","Iran","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","704596","false","-1","N/A",,"false","704596","false",,"false","284777",,"284777","0","true","false",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","398","KAZ","Kazakhstan","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2869342","false","-1","N/A",,"false","2869342","false",,"false","1187732",,"1187732","0","true","false",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","762","TJK","Tajikistan","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3948169","false","-1","N/A",,"false","3948169","false",,"false","1450230",,"1450230","0","true","false",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","792","TUR","Türkiye","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1020998","false","-1","N/A",,"false","1020998","false",,"false","424036",,"424036","0","true","false",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","795","TKM","Turkmenistan","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5371807","false","-1","N/A",,"false","5371807","false",,"false","2118120",,"2118120","0","true","false",
"C","A","20100101","2010","52","2010","4","AFG","Afghanistan","M","Import","860","UZB","Uzbekistan","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92843208","false","-1","N/A",,"false","92843208","false",,"false","36057728",,"36057728","0","true","false",
"C","A","20100101","2010","52","2010","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H3","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","77875514","false","-1","N/A",,"false","77875514","false",,"false","61600303",,"61600303","0","true","false",
"C","A","20100101","2010","52","2010","8","ALB","Albania","M","Import","12","DZA","Algeria","0","W00","World","H3","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4825350","false","-1","N/A",,"false","4825350","false",,"false","3665972",,"3665972","0","true","false",
"C","A","20100101","2010","52","2010","8","ALB","Albania","M","Import","31","AZE","Azerbaijan","0","W00","World","H3","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27306259","false","-1","N/A",,"false","27306259","false",,"false","21464231",,"21464231","0","true","false",
